Вакансия,Компания,Обязанности,Требования,Зар. плата,URL 
Системный администратор, Плас-Тек,Управление Active Directory. Управление сетевой инфраструктурой. Управление инфраструктурой серверов и хранилища данных. Администрирование MSSQL Server. Администрирование IIS. Администрирование виртуальной среды...,"Iptables, OpenVPN, My SQL, Postfix. Базовые знания T-SQL, Python, PowerShell. Редактирование DNS записей. Обновление сертификатов. Работа с HP Blade...",80 000-110 000 руб.,https://hh.ru/vacancy/31094604?query=python
Инженер по внедрению и техподдержке телекоммуникационного биллинга, Латера,поддерживать работу уже внедренного биллинга. — участвовать в решении сложных задач совместно с разработчиками. — общаться с клиентами: консультировать по работе и...,представление об устройстве компьютерных сетей. — умение установить и настроить приложение в консоли Linux. — знание основ языка запросов SQL. ,90 000-120 000 руб.,https://hh.ru/vacancy/30995183?query=python
Системный администратор Linux / DevOps (проект MyBook), ЛитРес,"Участвовать в проектировании и дальнейшем развитии архитектуры проекта. Обеспечивать стабильность сервисов. Несколько десятков серверов, VDS и bare metal, вы будете...",Плюсом будет опыт работы с hardware (для администрирования парка физических серверов). Опыт программирования (python/shell) и git. Желание работать в...,Не указано,https://hh.ru/vacancy/30250782?query=python
Инженер систем виртуализации и СХД / Системный администратор, NeoCommunications,Администрирование систем хранения данных и SAN-сети. Администрирование системы виртуализации. Администрирование серверного оборудования с архитектурой x86. Мониторинг состояния и...,"Желателен опыт развертывания и сопровождения систем резервного копирования: Bareos, Veeam. Умение автоматизировать рутинные задачи, знание скриптовых языков (bash / python).",80 000-120 000 руб.,https://hh.ru/vacancy/31098410?query=python
Главный аналитик по статистическому моделированию,ООО МФК ВЭББАНКИР,Разработка статистических моделей и методов машинного обучения для решения предметно-ориентированных задач. Аналитика (статистическое моделирование). Разработка системы принятия решений на...,"Желательно от 1-го года практического опыта применения машинного обучения. Хорошее знание Python. Знание стандартных инструментов multiprocessing, sklearn, numpy, pandas...",150 000-200 000 руб.,https://hh.ru/vacancy/31054154?query=python
DevOps engineer," 585, Холдинг","Организация инфраструктуры с нуля. - автоматизация деплоя на боевой, препрод и разворачивания dev-стендов. - настройка взаимодействия подсистем. - обеспечение высокой доступности и...","Умение работать с Git, писать на bash и любом языке (Python, PHP). - Опыт обслуживания Redis кластера. - Опыт обслуживания ElasticSearch кластера. - ",Не указано,https://hh.ru/vacancy/31267675?query=python
Data Scientist, Group-IB,Применение машинного обучения и искусственного интеллекта для обнаружения вредоносных программ и угроз в области информационной безопасности. Создание предиктивных моделей с...,"Базовые знания практической информационной безопасности (методы атак и защиты от них). Хороший опыт программирования на Python, понимание фреймворков Numpy или...",Не указано,https://hh.ru/vacancy/24620341?query=python
Ведущий инженер по внедрению и техподдержке телекоммуникационного биллинга, Латера,поддерживать работу уже внедренного биллинга. — участвовать в решении сложных задач совместно с разработчиками. — общаться с клиентами: консультировать по работе и...,"умение программировать под Linux (shell, Perl, Python, Ruby и т.п.). — знание английского языка на уровне Intermediate (субсидируем обучение в...",120 000-150 000 руб.,https://hh.ru/vacancy/30995213?query=python
Middle Data Warehouse Developer, OMD OM Group,"Проектирование и реализация ETL-процессов (Python, SQL на более поздних стадиях). Системно-аналитические задачи: выявление аномалий в данных, отслеживание бизнес...","Опыт 1–3 года в проектах DWH — обязателен, лучше всего — в качестве разработчика или архитектора. Необходимо: Python на уровне работы...",Не указано,https://hh.ru/vacancy/29385932?query=python
Инженер внедрения,ООО СофтБиКом,"Идентификация требований клиента и анализ возможности их реализации имеющимися средствами. Инсталляция приложений, осуществление базовых настроек. Реализация нестандартных требований, в том...","Навыки разработки скриптов/сервисов на одном из языков программирования (Java Script, Python, PHP и т.п.). Понимание методов работы с...",Не указано,https://hh.ru/vacancy/30902296?query=python
Аналитик (Calltracking), Comagic,Проектирование изменений в алгоритме коллтрекинга. Приземление решений бизнес-задач клиентов в команду разработки. Сопровождение выделенной команды разработки. Работа в паре...,Математическое образование: в идеале выпускник МФТИ или МГУ. Вы умеете аргументированно обосновывать свою точку зрения. В каких ролях вы могли...,Не указано,https://hh.ru/vacancy/31179101?query=python
Инженер-электронщик / конструктор-прототипировщик электронных устройств,ИП RobotDyn (Бегишев Шавкат Динарович),"Участие в разработке устройств на базе микроконтроллеров STM32, STM8, AVR, SAMD. Сборка прототипов устройств, отладка и тестирование на...",Опыт написания и отладки программ для микроконтроллеров на С/C++. Базовое знание архитектуры и опыт работы с микроконтроллерами семейств STM...,45 000-60 000 руб.,https://hh.ru/vacancy/31114897?query=python
"Product manager (SaaS, Eng)",ООО Трастид Т,"The Ultimate goal - создать в компании процесс непрерывных улучшений Продуктов для достижения целей бизнеса, включая рост LTV и снижение Churn. ","Умение оценить влияние реализуемой функциональности на смежные бизнес процессы. Будет плюсом: Умение самостоятельно выбрать и обработать данные (SQL, Python).",от 200 000 руб.,https://hh.ru/vacancy/31257093?query=python
Инженер по системному моделированию цифровых двойников,ЗАО КАДФЕМ Си-Ай-Эс,"Участие в разработке, внедрении и сопровождении инновационных проектов создания Цифрового двойника (Digital Twin) изделия/комплекса изделий на базе технологии Интернет...","Желательно: Знание ГОСТ 34.XXX (а также ГОСТ 19.XXX, ГОСТ 24.XXX). Знание языков программирования (Python/C/C++). Умение проведения расчетов в...",Не указано,https://hh.ru/vacancy/30811248?query=python
Senior Data Scientist, Align Technology Inc,Представлять команду data science на этапе обсуждении технических деталей проектов. Работа с заказчиками и коллегами из различных локаций. ,"Навыки программирования (Python / R / SQL). Знание теоретических основ статистического анализа данных. Опты построения решений, связанных с анализом данных на основании...",Не указано,https://hh.ru/vacancy/30980848?query=python
DevOps-разработчик,ООО Кей Групп,"Развертывание youtrack, zammad и т.д.. Поиск новых, наиболее оптимальных трекеров. Развитие и интеграция трекеров.","Опыт в написании скриптов на BASH (or Python / Ruby). Желателен опыт работы с системами мониторинга. Базовые знания операционных систем, уверенное...",Не указано,https://hh.ru/vacancy/29985073?query=python
Developer C/C++ (безопасные решения на основе Kaspersky OS), Лаборатория Касперского,Участие в разработке продуктов и решений на базе Kaspersky OS. Разработка модели угроз и поддержка ее в актуальном состоянии. ,"Дополнительными плюсами будут: Знакомство с make, CMake. Базовые знания python и bash. Опыт работы в области разработки и проектирования операционных...",Не указано,https://hh.ru/vacancy/30424648?query=python
Тестировщик,"ООО АВТОРУСЬ, группа компаний","Разработка сценариев тестирования. Разработка автоматических тестов (unit, интеграционные, нагрузочные). Разработка и поддержка документации тестирования. Функциональное тестирование. Обнаружение дефектов.","...у нас Postman). Базовые значения HTML/CSS. Знать один из скриптовых языков JS, PHP, python, bash. Обладать опытом ведения документации.",80 000-120 000 руб.,https://hh.ru/vacancy/31269366?query=python
TeamLead (Java), X5 RETAIL GROUP,Организация продуктовой команды разработки ПО. Управление командой разработки ПО. Управление программной структурой и проектированием ПО. Проведение технического надзора: code-review...,"Отличное знание Java 8 core. Уверенное знание SQL, опыт создания сложных запросов и оптимизации. Опыт использования JDBC, ORM. ",Не указано,https://hh.ru/vacancy/30730011?query=python
Инженер - программист ПЛИС / FPGA Designer,АО Инвитех,"Разработка конфигураций ПЛИС (VHDL/Verilog под FPGA Altera/Xilinx). Разработка IP-блоков и законченных устройств. Отладка, настройка и испытания разработанных...",Знания технического английского и умение работать с документацией. Навыки работы TCL/Bash/Python. Дополнительные навыки: Опыт разработки и/или реализации...,40 000-120 000 руб.,https://hh.ru/vacancy/30815046?query=python
Старший менеджер по качеству данных (Big Data), X5 RETAIL GROUP,"Анализ функциональных спецификаций, требований к интерфейсам и процедурам извлечения в части методов обеспечения требуемого уровня качества данных. Анализ пригодности данных...","Высшее техническое или математическое образование. Профессиональный уровень владения PL/SQL, Spark. Продвинутые навыки системной интеграции ETL/ELT, ESB, CDC. ",Не указано,https://hh.ru/vacancy/30129522?query=python
Специалист по обработке данных (Data engineer/scientist), Сбербанк для экспертов,Участие в построении и поддержке аналитических моделей (Python + Spark и тд). Поиск алгоритмов для решения нестандартных задач в области...,"Знание SQL и опыт оптимизации запросов на какой-либо СУБД. Знание языков программирования Python, Spark, Scala. Наличие опыта разработки и...",Не указано,https://hh.ru/vacancy/30786803?query=python
Системный инженер группы NFV, Brain4net,"Виртуализированные сетевые сервисы VNF (NAT/CGNAT, DPI, DNS, DHCP, AAA и т.д.). Оркестратор сетевых модулей и сервисов. ",Знание трендов в области SDN/NFV. Опыт работы с VMware. Опыт работы с Zabbix. Опыт работы с Docker. Знание Python.,Не указано,https://hh.ru/vacancy/31246053?query=python
Менеджер аналитических проектов/Data Scientist, Сбербанк для экспертов,"Развитие аналитического направления в департаменте, включая моделирование, предиктивную аналитику и работу с большими данными. Ведение проектов по обработке данных, созданию...","Навыки программирования R / Python. Сильный, структурированный problem-solving. Аналитический, data-driven подход к решению задач. Развитые навыки визуализации информации. ",Не указано,https://hh.ru/vacancy/30866531?query=python
Linux инженер, УниверсалСофт,"Установка, настройка, запуск в эксплуатацию программных комплексов. Мониторинг, поддержка, решение проблем.","Опыт написания скриптов на языках Bash/Perl/Python/TCL/... Знание и понимание SQL. Приветствуется опыт с PostgreSQL, PL/SQL, Transact...",от 50 000 руб.,https://hh.ru/vacancy/31262923?query=python
SRE, Додо Пицца,"Консультациях по дизайну и разработке сервисов. Улучшении мониторинга, надежности и оптимизации наших сервисов. Разработке платформы для разработчиков в Kubernetes; миграция...","Имел практический опыт в разработке, дизайне и операционной поддержке распределенных систем с доступностью 24/7/365. Имел фундаментальные знания в...",Не указано,https://hh.ru/vacancy/30996843?query=python
ML разработчик, KamaGames Studio,,"Опыт решения разнообразных прикладных задач с их помощью. Опыт разработки на Python, C++ или Java. Опыт внедрения моделей в продакшн...",Не указано,https://hh.ru/vacancy/27663202?query=python
Архитектор Solution (Big Data),ПАО МТС,"Команда: нас уже 200, планируем вырасти до 300. Для работы над продуктом собираем команду из разных центров компетенций (их более...","Опыт, на который мы рассчитываем. Знание Python или Java/Scala и практические навыки программирования хотя бы на одном из языков. ",Не указано,https://hh.ru/vacancy/28391294?query=python
Системный администратор Linux (Junior), ADV/web-engineering,"Развертывание, настройка и администрирование серверов и рабочих станций под управлением Linux, Windows, MacOS. Администрирование AD. Мониторинг работы программного и аппаратного...","Умение разобраться в коде на одном из языков - Bash, Python, Perl, PHP. Опыт администрирования БД MySQL, PostgreSQL. Опыт работы с...",до 30 000 руб.,https://hh.ru/vacancy/31264399?query=python
Game Project Analyst,ООО G5 Entertainment AB,Совместная работа с командой проекта. Прямое взаимодействие с продюсером проекта и ведущим аналитиком компании. Анализ финансовых и игровых показателей проекта. ,Знание основ теории вероятности и статистики. Знание R/Python и опыт применения данных языков для работы с данными. ,Не указано,https://hh.ru/vacancy/30833661?query=python
Инженер по информационной безопасности (Cisco Systems) / Security Network Consulting Engineer,ООО Флинт,Cisco firewalls – ASA 5500-X/ASA 5500/Firepower 4100/9300. Cisco routers – ISR 1900/2900/3900/4000/4400/ASR 1000. ,Basic knowledge of scripting languages (Perl/Python/Bash) which is sufficient to build automation tools for a routine job. ,Не указано,https://hh.ru/vacancy/31145292?query=python
Quantitative Researcher,ООО КВАНТПОРТРУС,Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical...,"Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). ",от 300 000 руб.,https://hh.ru/vacancy/29014173?query=python
Ведущий аналитик по направлению Управление инцидентами информационной безопасности,ООО SolidLab,"Разработка, внедрение и сопровождение процессов управления инцидентами на стороне Заказчика: Организационное планирование процессов управления инцидентами (1, 2, 3 линия) с...",Наличие знаний и опыта в области Web Application Security. Знание языков программирования Bash и Python. Навыки и опыт работы с...,120 000-200 000 руб.,https://hh.ru/vacancy/30912871?query=python
Руководитель отдела разработки / CTO, MillionAgents,"Участие в принятии стратегических продуктовых решений, в проектировании продуктов и бизнес-процессов. Управление системой: ответственность за архитектуру, выбор технологий и...",...через призму потребностей и задач бизнеса. Опыт работы с технологиями машинного обучения и опыт работы на языке Python / Matlab / R.,от 200 000 руб.,https://hh.ru/vacancy/31249544?query=python
Аналитик отдела электронной коммерции, Clarins Group,"Настройку и подключение инструментов аналитики для получения статистических данных. Анализ данных, поиск инсайтов и логические выводы, выдвижение рекомендаций по мерам...","Основы HTML/JS/JQuery/ CSS, Javascript. Базовые знания R и/или Python. Использование инструментов сквозной аналитики Roistat, Alytics. ",Не указано,https://hh.ru/vacancy/29575700?query=python
Системный администратор Linux, М.Видео-Эльдорадо. ИТ,"Администрирование Linux серверов на базе CentOS(6,7) 90%, Ubuntu 8%, Debian 2%. Администрирование прикладного ПО на серверах. ",Навыки программирования на каком-либо языке (PHP/Ruby/Go/Perl/Python/C++/C#/Java/NodeJS). Опыт работы с репликацией MySQL...,Не указано,https://hh.ru/vacancy/29267567?query=python
Security Researcher / Analyst for Imunify360, Cloud Linux,You will be responsible for analyzing various types of malware attacking the web hosting servers and creating improvements in our...,"Experience of work with vulnerabilities feeds: CVE, NVD. Knowledge of PHP, Python. You are a fast-learning and proactive person. ",Не указано,https://hh.ru/vacancy/31249228?query=python
Senior Java developer, X5 RETAIL GROUP,"В рамках Управления программных решений для цепочек поставок существует проект ""Помарочный учет алкогольной продукции"". Команда проекта сформирована, в связи с...","Стек технологий на проекте: Система реализована на базе J2EE / WildFly и DB Oracle (Hibernate, JPA, Jackson, JAX-WS...",Не указано,https://hh.ru/vacancy/27185688?query=python
Архитектор DWH (Big Data),ПАО МТС,"Команда: нас уже 200, планируем вырасти до 300. Для работы над продуктом собираем команду из разных центров компетенций (их более...","Высшее образование. Навыки, на которые мы обратим внимание: Знание Python или Java/Scala и навыки программирования на одном из них. ",Не указано,https://hh.ru/vacancy/23232249?query=python
Системный программист ОС GNU/Linux встраиваемых систем,АО НПЦ «ЭЛВИС»,"...утилит для встраиваемых систем. Пакетирование приложений в Buildroot, Debian. Разработка функциональных тестов драйверов Linux и U-Boot на Bash/Python.","...Linux на уровне написания скриптов (bash, awk, и т.д.). Опыт программирования на любом из языков Python, Perl, Ruby, Go.",Не указано,https://hh.ru/vacancy/30787611?query=python
Веб-аналитик/Web-analyst, Faberlic,Подготовка аналитических отчетов по запросу и формирование практических рекомендаций. Ad-hoc аналитика для поддержки принятия продуктовых и бизнес решений. ,"Опыт работы на позиции веб-аналитика от 1 года. Python или R (обработка статистических данных), опыт работы с Big Data...",Не указано,https://hh.ru/vacancy/30476691?query=python
QA Engineer, Актив,Подготовка и настройка тестового окружения. Тестирование документации. Взаимодействие с командой разработчиков. [опционально] Разработка автоматических тестов и тестовых утилит на Python...,"Знание методологий разработки ПО. Опыт программирования на Python, Java, C++, C#. Опыт разработки автоматических тестов. Опыт использования фреймворков автоматизированного тестирования. ",Не указано,https://hh.ru/vacancy/25590612?query=python
Системный инженер (DevOps),ООО Газпром-медиа Развлекательное телевидение (ГПМ РТВ),"Эксплуатация и развитие высоконагруженных проектов, связанных с видео (VoD/Live). Взаимодействие с командой разработки, DevOps-поддержка, выстраивание процессов CI/CD. ",Опыт автоматизации рутинных процессов на скриптовых языках (shell/perl/python/etc). Опыт использования современных NoSQL-решений (особенно MongoDB и Redis). ,Не указано,https://hh.ru/vacancy/31269662?query=python
Senior Data Scientist, Samsung Research Center,"Разработкой систем по обработке и анализу данных по продажам, производству и логистике продуктов компании по всему миру. Построением предиктивных и...","Обладает глубокими знаниями методов / метрик статистического анализа и машинного обучения, понимание их сфер применимости, умение объяснить их коллегам. ",Не указано,https://hh.ru/vacancy/30115329?query=python
Product Analyst (Big Data продукты для маркетинга), Double Data,"Оказывать поддержку продуктовой команде в реализации продукта со стадии расплывчатой идеи до четко спланированной реализации, масштабирования и последующей поддержки. ","Навыки работы в Tableau и прочих BI-инструментах. Опыт работы с Jira, Confluence. Свободный английский. Знание SQL, Python.",Не указано,https://hh.ru/vacancy/31050247?query=python
Lead-разработчик php,ПАО МГТС,Управление командой в режиме «играющий тренер». Обеспечение качества разрабатываемых продуктов. Внедрение релиз-менеджмента. Выстраивание коммуникаций с внутренними заказчиками.,"Администрирование *nix /Win систем. Golang, и/или Python. HTML / CSS - базовые знания верстки Boottrap, jQuery/. Будет плюсом знание ES6...",150 000-180 000 руб.,https://hh.ru/vacancy/31267833?query=python
Big Data Developer, Star-staff,"Второй продукт - система, которая сможет сортировать входящие email-сообщения по темам, обрабатывать и анализировать ""тело"" письма для приема инфо от...",Хотим: Хорошее знание языка Python. Опыт обработки данных с помощью метододов ML. Опыт работы с Big Data.,Не указано,https://hh.ru/vacancy/31247385?query=python
DevOps инженер, IBS,"Автоматизация процесса развертывания приложений в облачных средах, на базе продукта Arenadata Cluster Manager. Исследование работы приложений для больших данных в...","Знание Linux на уровне начинающего сисадмина (apt/yum, iptables, nginx). Знание языков Bash/Python/Perl на уровне автоматизации процессов ОС. ",Не указано,https://hh.ru/vacancy/30859947?query=python
Data Scientist (Cybersecurity), Group-IB,Создание предиктивных моделей с использованием контролируемых методов обучения для обнаружения и остановки вредоносных программ. Работа с текущим массивом данных о...,"2 года практического применения алгоритмов машинного обучения. Хороший опыт программирования на Python, понимание фреймворков Numpy или R. Опыт программирования на...",Не указано,https://hh.ru/vacancy/24595719?query=python
Systems Engineer, G-Core Labs,"Hardware servers provisioning at scale. Multi-team Puppet related infrastructure, services and workflows development and maintenance. Design, ensure utmost uptime...","Solid experience with puppet, ansible. Strong scripting/programming skills (bash/python/ruby/etc.). Knowledge of best practices and approaches related...",Не указано,https://hh.ru/vacancy/31271182?query=python
Computer vision data scientist," AROUND, Группа компаний","По видеокадрам задетектировать людей и определить лицо конкретного человека. - Оптимизировать алгоритм детекции лиц, определения эмоций, пола, возраста. Идентификация лица.","Что необходимо знать: - Сегментация изображений и детекция объектов. - Python, tensorflow, keras, postgres. - Опыт использования нейросетей в задачах локализации объектов. - ",80 000-130 000 руб.,https://hh.ru/vacancy/31005373?query=python
Сетевой инженер,ООО МосГорТелеСеть,"Развитие и обслуживание IP-сети оператора связи. Диагностика, решение проблем на сети оператора связи. Подключение клиентов на сети оператора связи. ","Опыт администрирования серверных систем на основе ядра Linux. Знание скриптовых языков (bash, python, perl). Опыт работы с телекоммуникационным оборудованием Mikrotik.",75 000-90 000 руб.,https://hh.ru/vacancy/31090410?query=python
Systems Engineer, G-Core Labs,"Design, ensure utmost uptime and troubleshoot production systems and related toolset. Automate the current procedures.","Experience in puppet, ansible, git. Scripting/programming skills (bash/python/ruby/etc. - one of them at least). Solid knowledge of...",Не указано,https://hh.ru/vacancy/31271171?query=python
Java-разработчик (Москва),ПАО МТС,Разработка и сопровождение ПО в интересах контактных центров компании. Написание нового кода (60%) и поддержка существующего кода (40%). ,"Желание учиться и повышать профессиональный уровень. Понимание Groovy и Python. Знание ExtJS. Опыт работы с web-серверами Tomcat, GlassFish, Jboss. ",Не указано,https://hh.ru/vacancy/31257412?query=python
Администратор Oracle/Linux, Сбербанк для экспертов,"Сопровождение текущей функциональности АС. ∙ Мониторинг работоспособности АС и развитие мониторинга. ∙ Решение инцидентов, разбор корневых причин их возникновения и подготовка планов...",Уметь писать скрипты на bash/python. Большим плюсом будут: ∙ Опыт работы в группе сопровождения QUIK. ∙ Представление о работе Diasoft Custody...,Не указано,https://hh.ru/vacancy/31261264?query=python
Программист SQL,АО Российские космические системы,Разработка прикладного программного кода на PL/PgSQL. Разработка и оптимизация сложных SQL-запросов. Миграция прикладных систем на PostgreSQL. ,"Уверенное владение языками SQL и PgSQL. Опыт программирования на других языках (Python и др.) желателен. Знание особенностей PostgreSQL, алгоритмов исполнения...",Не указано,https://hh.ru/vacancy/29422617?query=python
Senior backend QA engineer, Waves Platform,"Анализ новой функциональности, тест-дизайн. Разработка автоматических тестов. Разработка функциональных и интеграционных тестов. Развитие CI/CD. Участие в развитии процессов...","Знание хотя бы одного языка программирования (Java/Scala/Python/JavaScript), готовность изучать и использовать Scala. Базовые знания Unix. ",Не указано,https://hh.ru/vacancy/30394548?query=python
Системный администратор Linux, Сетелем Банк,"...Apache, NFS, squid, postfix. Работа с серверами приложение (Jboss, Wildfly, Glassfish 3). Написание/чтение скриптов (bash/sh, awk, sed, Python).","Понимание принципов работы протоколов (tcp/ip, http, ftp, smtp, ssh, icmp, VLAN, Nic-teaming, DNS, DHCP). Опыт администрирования СУБД (mysql...",Не указано,https://hh.ru/vacancy/30883071?query=python
Системный администратор Linux, iSpring,,"знание TCP/IP. - знание PHP. - опыт автоматизации: Ansible, скрипты на bash, python, perl. - опыт настройки различных систем мониторинга. - ",от 70 000 руб.,https://hh.ru/vacancy/31266790?query=python
Ведущий / Главный аналитик центра компетенций Big Data, Неофлекс,Выявление бизнес-задач и проблем Заказчик. Разработка бизнес архитектуры решений и презентация их Заказчику. Декомпозиция задачи и постановка задач аналитикам...,"Экспертное знание SQL, опыт работы с реляционными источниками данных. Опыт анализа данных при помощи Python/Scala/R, применение инструментов класса...",Не указано,https://hh.ru/vacancy/30391473?query=python
DevOps консультант, Accenture,Разработка и имплементация микросервисной платформы на базе OpenShift.,"Понимание процесса сборки, тестирования и публикации ПО. Владение современным языком программирования (Python, Java, JS и др.) будет плюсом. ",Не указано,https://hh.ru/vacancy/31268868?query=python
DevOps (Msk),ПАО МТС,"Внедрение и сопровождение автоматизированных систем. Сопровождение процессов CI/СD. Поддержка клиентов через систему баг-трекинга (мониторинг и анализ жалоб, поступающих...","Опыт программирования на скриптовых языках (Bash, Perl, Python). Опыт работы с системами автоматизации Ansible, Puppet или аналогами. Опыт использования различных...",Не указано,https://hh.ru/vacancy/31257358?query=python
Разработчик / Администратор (Jira/Confluence), Неофлекс,Анализ требований по доработке системы Jira/Confluence. Разработка нового функционала для Jira/Confluence. Настройка и администрирование Jira/Confluence в соответствии...,"Опыт коммерческой разработки не менее 1 года на любом языке: Java, Python, JavaScript. Знание технологий веб-программирования: HTML, CSS, JavaScript...",Не указано,https://hh.ru/vacancy/30247317?query=python
"Ведущий инженер по медиалогистике / Инженер IPTV, Unix"," MSK-IX, Центр взаимодействия компьютерных сетей",Развитие и эксплуатация платформы медиалогистики федерального масштаба (технологии IPTV). Интеграция проекта медиалогистики с имеющимися системами компании. Внедрение системы мониторинга. ,"Опыт ведения прикладных разработок (Perl, Python) будет преимуществом. Технический английский. Опыт работы в сервисных проектах, ТВ-операторах или интеграторах. ",120 000-150 000 руб.,https://hh.ru/vacancy/30810201?query=python
Инженер по тестированию / QA (проект MyBook), ЛитРес,"Ручное тестирование новых релизов сайта и мобильных приложений под iOS, Android по функциональным спецификациям. Регрессионное тестирование по чеклистам. ","Навыки автоматизированного тестирования. Опыт программирования или чтения кода (Python, Objective-C или Java). Базовые навыки работы с версткой (HTML, CSS...",Не указано,https://hh.ru/vacancy/31039225?query=python
Разработчик макросов,ООО КЕЛЛИ СЕРВИСЕЗ ИТ РЕШЕНИЯ,Автоматизация операционных задач в отделе клиентского сервиса. Поддержка. Создание библиотеки автоматизаций.,"VBA / VBS, SQL, DAX / power query. Будет преимуществом – python, easy morph, power BI, AutoIt.",Не указано,https://hh.ru/vacancy/31269657?query=python
Инженер по автоматизации тестирования UI/API (myTarget)," Mail.Ru Group, Решения для бизнеса",Разработка автоматизированных тестов UI/API для веб-сервиса. Принятие участия в разработке тестовой инфраструктуры. Участие в разработке имеющегося фреймворка. ,"Хорошее знание Python. Знание Selenium WD. Опыт работы с Linux. Знание SQL. Опыт нагрузочного тестирования. Знание: Ansible, Jenkins, Django, Py.Test...",Не указано,https://hh.ru/vacancy/30640724?query=python
Системный администратор/Devops инженер, Банк ВТБ (ПАО),"Подготовка инфраструктуры для сборки, развертывания и тестирования программного обеспечения. Построение и сопровождение конвейера непрерывной интеграции\поставки программного обеспечения. ",Опыт работы с системами управления конфигурацией Ansible. Умение использовать для автоматизации работы bash/Python и др. Опыт администрирования серверов Apache...,Не указано,https://hh.ru/vacancy/30544022?query=python
Риск-аналитик/Кредитный аналитик, Lucky Hunter,Оценка рисков проекта. Оценка/ анализ портфеля заемщика. Формирование статистики и отчетности. Формулирование гипотез. Построение прогнозных моделей.,Опыт внедрения систем принятия решения. Умение разрабатывать прогнозные модели. Формирование стратегий. Умение работать с большими массивами данных. Знание Python или...,до 200 000 руб.,https://hh.ru/vacancy/30915212?query=python
Разработчик/Старший разработчик в отдел разработки загрузки данных, Банк ВТБ (ПАО),"Разработка ETL на платформе Informatica PowerCenter (плюс shell-script, python, java). Разработка витрин данных с использованием PL/SQL. ",Опыт работы с ОС Linux. Опыт работы с СУБД Oracle. Системное мышление и желание изучать новые технологии приветствуются.,Не указано,https://hh.ru/vacancy/31263928?query=python
