Вакансия,Компания,Обязанности,Требования,Зар. плата,URL
Программист Python (Middle),ООО Контент лайн,"Разработка, code review и рефакторинг систем. Участие в проектировании систем. Сопровождение и документирование проектов.",Уверенное знание Python 2 и 3. Уверенное знание Django 1.8+ и популярных пакетов для него. Знание SQL и...,Не указано,https://hh.ru/vacancy/31251988?query=python
Backend developer (Python), Дестени Продакшн,,Опыт промышленной разработки на Python от 3-х лет. Знание принципов работы баз данных и опыт работы с MySQL/PostgreSQL. ,Не указано,https://hh.ru/vacancy/30788656?query=python
Junior Python разработчик - поддержка биллинга,ООО Форкод Медиа,"Оказывать техническую поддержку для бухгалтерии. Подготавливать сложные отчеты используя SQL и Python. Траблшутинг, анализ и поиск оптимальных решений проблем. ","Знание SQL (MySQL, PostgreSQL). Базовые знания Python, знакомство с Django (предстоит работать с ORM). Навык работы в Linux. ",Не указано,https://hh.ru/vacancy/30872275?query=python
"Back-end Developer ( Python, Django)",ООО Верме,"Основной сервис планирования: клиент - самописный MVC-подобный движок, отдельные компоненты на vue.js, графика на canvas, сервер - Django, Python, PostgreSQL. ","Уверенное значение Python, Django, PostgreSQL. Понимание принципов распределенной работы над созданием программного кода. Коммуникабельность, ответственность, умение работать в команде. ",Не указано,https://hh.ru/vacancy/30844068?query=python
Senior Python Developer, Coins.ph,Experience with Agile Product Development processes and individual contribution.,"4+ years of relevant experience as a Software Engineer with a strong team. Tests (unit, functional, integration) and understanding...",Не указано,https://hh.ru/vacancy/31098860?query=python
Python Django разработчик,ООО ЭТАЛОН-АВТОМАТИЗАЦИЯ,Поддержка и доработка существующих проектов. Создание каталога на сайте путем выгрузки из 1С по протоколу CommerceML. Создание механизма загрузки...,Умение создавать сайты на Django Framework. Высшее техническое образование. Опыт разработки на языке Python не менее 2-х лет. ,Не указано,https://hh.ru/vacancy/31240860?query=python
Python / Django разработчик,ООО Муззмания,Проектирование и разработка нового функционала проекта с использованием Python + Django. Разработка Front-end‘а. Разработка мобильных приложений.,"Желательно участие в создании сложных высоконагруженных систем, социальных сетей. Отличное владение Python'ом и фреймворком Django. Понимание юзабилити. ",от 90 000 руб.,https://hh.ru/vacancy/31158959?query=python
Разработчик Big Data (Python),ООО Дельта Солюшнс,"Примерные задачи: ∙ Построение витрин данных на технологиях Hadoop, используя данные источников и таблицы справочники. ∙ Управление потоками данных в Data Lake...","Хорошее знание и опыт разработки на Spark (Scala или Python): работа с SQL/NoSQL БД, написание процессов обработки данных. ∙ ",Не указано,https://hh.ru/vacancy/31016533?query=python
Билд-инженер/Программист Python (Continuous Integration), Gaijin Entertainment,оптимизация сборки. - выполнение сборки общих библиотек. - разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО. - ,"отличное знание языка Python, знание и навыки работы с GIT. - хорошее понимание процессов разработки ПО. - знание Windows и Linux. - ",Не указано,https://hh.ru/vacancy/30937786?query=python
Senior Python Developer, Akvelon,,"Глубокое знание языка Python (Hadoop, Spark, Hive). Знание английского языка на уровне upper-intermediate или выше. Умение работать в территориально...",Не указано,https://hh.ru/vacancy/30364996?query=python
Программист Python/PHP, Mosline,"Разработка архитектуры системы, формализация задач. Разработка Back-end (python, php, MySQL, Mongo DB и т.д). Создание качественного, легко поддерживаемого...","PHP/Python/NodeJS и т.д. Git / Git-Flow. Базы данных (МySQL,Percona,Arango DB, Mongo DB и Redis) приветствуются. ",до 160 000 руб.,https://hh.ru/vacancy/30404869?query=python
Ведущий разработчик Python на платежную платформу,ИП Новикова Ольга Станиславовна,"Принятие на поддержку существующего финтех проекта, дальнейшее его развитие (интеграции, доп.функционал и тд).","Опыт разработки и поддержки крупных коммерческих проектов, реализованных на Python (Django) от 3х лет. Знание тонких мест реализации фреймворка...",от 250 000 руб.,https://hh.ru/vacancy/31135214?query=python
Методист-эксперт Python, Алгоритмика,Руководство командой методистов. Экспертиза в Python (преподавание + обучение преподавателей).,,Не указано,https://hh.ru/vacancy/31206605?query=python
Web-разработчик (Python), Доктор Веб,"Разработка, поддержка и сопровождение сайтов и веб-сервисов компании.","Знание Python. Знание Django (другого аналогичного фреймворка). Знание SQL, плюсом будет опыт работы с PostgreSQL. Знание JavaScript, jQuery, базовые знания...",Не указано,https://hh.ru/vacancy/10061971?query=python
Программист Python (middle),ООО Строительный Двор,"использование тестов в процессе разработки, покрытие своего кода тестами. - работа в команде разработчиков. - качественное и своевременное исполнение задач web-проекта...","опыт работы от 2+ года в разработке Python, или других языках. - практический опыт работы с операционными системами семейства *nix. - ",Не указано,https://hh.ru/vacancy/30567921?query=python
Python разработчик (Big Data),ПАО МТС,"Участвовать в проектах, затрагивающих хранение, обработку и анализ BigData в роли разработчика. Создавать инструментарий для интеграции источников. Создавать фреймворки для...","Опыт, на который мы рассчитываем: Опыт разработки на Python от 1 года. Хорошее понимание идеологических и технологических аспектов BigData. ",Не указано,https://hh.ru/vacancy/25295448?query=python
Разработчик на Python в Афишу, Яндекс,,"Знание классических алгоритмов и структур данных. Хорошее знание Python 2. Опыт коммерческой разработки на Python 2. Ответственность и аккуратность, умение...",Не указано,https://hh.ru/vacancy/30888010?query=python
"Ведущий программист-исследователь (мат. моделирование, C++/CUDA/Python)",ООО Кинтех Лаб,"Разработка программных продуктов для численного моделирования физико-химических процессов. Разработка математических моделей, сопровождение кода.","Опыт написания HPC-приложений. Опыт написание скриптов на python, bash. Разработка средств визуализации, рендеринга. Опыт администрирования HPC и Linux систем. ",от 100 000 руб.,https://hh.ru/vacancy/30510148?query=python
Разработчик Python (backend)," 585, Холдинг","Писать код (И не писать там, где нет необходимости. Помните: самый лучший код, это отсутствие кода). Участвовать в разработке и...","От 3-х лет промышленной разработки на Python, включая практический опыт Python 3. Опыт создания высоконагруженных, отказоустойчивых, распределенных систем в...",Не указано,https://hh.ru/vacancy/31077949?query=python
Python Developer, Skillbox,"Разбиение монолита на django, на сервисы. Поддержка gitlab-manager для проверки работ студентов (Python). Покрытие кода тестами, рефакторинг текущих сущностей...","Опыт работы с Python от 2-х лет. Опыт работы с Django, DRF, Celery, RabbitMQ. Опыт работы с SQL (PostgreSQL). ",Не указано,https://hh.ru/vacancy/31242528?query=python
Backend Web-разработчик (Python), Актив,Внутренних сайтов и сервисов компании. Внешних Web-проектов компании.,Понимание OOП и паттернов проектирования. Уверенные знания и значительный опыт работы с Python 3+. Опыт работы с Django и...,Не указано,https://hh.ru/vacancy/27800553?query=python
Senior Python Developer,ООО Анлиминт,Проектирование и разработка платформы для интеграционного и функционального и интеграционного тестирования сложного финтех продукта. Разработка и систематизация бизнесовых сценариев для...,"Strong Python development Skills (senior+ developer background). Желание ломать и находить баги, писать код, который тестирует качество всего продукт в...",Не указано,https://hh.ru/vacancy/31245068?query=python
Python разработчик, Group-IB,Разработка бекэнд-части веб-приложений на языке Python (DJango framework). Проектирование и реализация API разрабатываемых систем. Документирование разрабатываемых AP. ,"Законченное высшее образование в техническом вузе. Хороший опыт программирования на Python, понимание концепций языка и Python way. Опыт написания модулей...",Не указано,https://hh.ru/vacancy/27367094?query=python
BI / Data Scientist, SegmentStream,"Построение SQL-запросов разной сложности для нужд отделов R&D и поддержки клиентов. Визуализация данных в Google Data Studio, построение...","Опыт работы c таг-менеджмент системами, настройка трекинга событий. Python (базовые знания). Понимание принципов. Опыт работы пакетами: numpy, pandas, matplotlib...",Не указано,https://hh.ru/vacancy/30894731?query=python
"Full Stack Web-разработчик (Python, JS)", Актив,"Поддержка, доработка и разработка. Внутренних сайтов и сервисов компании. Внешних Web-проектов компании. Поддержка и разработка демо-площадок для презентаций...","Уверенные знания и значительный опыт работы с JavaScript, Python, Django, Flask, HTML5, CSS3. Опыт работы Python 3.x...",Не указано,https://hh.ru/vacancy/26634302?query=python
"Ведущий разработчик/TeamLead (системный архитектор): Python, Node.js, React",АО ПроРеск Сервис,"Разработка целевой архитектуры ИС и интеграционных решений, исследование и оценка перспектив использования новых технологий, обоснование выбора стека технологий. ","Рассматриваемый стек технологий: React/Angular, Node.js /Python/Go, MySQL/MariaDB/PostrgeSQL. Знание современных методик командной разработки, управления проектами (работаем по...",от 150 000 руб.,https://hh.ru/vacancy/31163730?query=python
"Full-stack разработчик (Python, JavaScript)", LiteBox,Активно участвовать во всех этапах разработки в составе Scrum-команды: от сбора и анализа требований до написания кода и выкатки...,"Отличное знание Python. Владение технологиями: HTML, CSS, JavaScript (jQuery). Понимание веб-стека, принципов REST и построения реляционных моделей данных. ",100 000-200 000 руб.,https://hh.ru/vacancy/29195763?query=python
Full-stack Python разработчик, The Skolkovo Institute of Science and Technology,"Разработка платформы для создания решений на базе machine learning. Разработка модулей визуализации для типов данных, используемых в проекте. ","Хорошее знание Python. Знание и умение применять фреймворки Django, Flask, Tornado. Плюсом будет знание PostgresSQL и реальный опыт применения ORM...",Не указано,https://hh.ru/vacancy/31248785?query=python
Инженер по автоматизированному тестированию (Back-end/Python/CCTV/решения видеонаблюдения), Netris,Автоматизация функционального и нагрузочного тестирования на языке Python. Участие в разработке и внедрении инфраструктуры автоматического тестирования. Участие в интеграции системы...,"Понимание принципов работы TCP/IP стека, сетевых протоколов прикладного уровня. Опыт разработки на Python. Опыт тестирования приложений под Linux. ",Не указано,https://hh.ru/vacancy/30898548?query=python
Python Developer / Data Engineer, Ситимобил,Исследование влияния внедряемого функционала. Написание кода и его вывод в продакшн. Оптимизация текущего кода и его рефактор. Постоянный мониторинг и...,Понимание принципов работы СУБД и владеть SQL. Научный стек Python (numpy/scipy/matplotlib/pandas). Навык работы с Git (Gitlab) Linux...,Не указано,https://hh.ru/vacancy/31163627?query=python
"Стажёр(Анализ данных,data science)",ООО САС Институт,,"Быть студентом 3-5 курса бакалавриата/специалитета, магистратуры либо недавним выпускником технической специальности. Знать хотя бы один язык программирования, разбираться...",Не указано,https://hh.ru/vacancy/30340178?query=python
